history,patient,doctor
 ## دكتور : هاااي، عامل إزاي يا أستاذ؟,بداية,هاااي، عامل إزاي يا أستاذ؟
 ## دكتور : هاااي، عامل إزاي يا أستاذ؟ ## مريض : هاااي، أنا تمام، إزايك أنت؟,هاااي، أنا تمام، إزايك أنت؟,هاااي، عامل إزاي يا أستاذ؟
 ## دكتور : هاااي، عامل إزاي يا أستاذ؟ ## مريض : هاااي، أنا تمام، إزايك أنت؟ ## دكتور : بخير، الحمد لله. أنت جاي علشان تتكلم على حاجة معينة؟ ## مريض : أيوا، بس أنا بحس بتوتر كتير في الحياة اليومية ومحتاج أتكلم عليه.,أيوا، بس أنا بحس بتوتر كتير في الحياة اليومية ومحتاج أتكلم عليه.,بخير، الحمد لله. أنت جاي علشان تتكلم على حاجة معينة؟
 ## دكتور : هاااي، عامل إزاي يا أستاذ؟ ## مريض : هاااي، أنا تمام، إزايك أنت؟ ## دكتور : بخير، الحمد لله. أنت جاي علشان تتكلم على حاجة معينة؟ ## مريض : أيوا، بس أنا بحس بتوتر كتير في الحياة اليومية ومحتاج أتكلم عليه. ## دكتور : فهمت، ممكن تحكيلي أكتر عن الأسباب اللي بتخليك تشعر بالتوتر ده؟ ## مريض : يعني في ضغوطات كتير في الشغل وبعض المشاكل العائلية بتضيف للتوتر ده.,يعني في ضغوطات كتير في الشغل وبعض المشاكل العائلية بتضيف للتوتر ده.,فهمت، ممكن تحكيلي أكتر عن الأسباب اللي بتخليك تشعر بالتوتر ده؟
 ## دكتور : هاااي، عامل إزاي يا أستاذ؟ ## مريض : هاااي، أنا تمام، إزايك أنت؟ ## دكتور : بخير، الحمد لله. أنت جاي علشان تتكلم على حاجة معينة؟ ## مريض : أيوا، بس أنا بحس بتوتر كتير في الحياة اليومية ومحتاج أتكلم عليه. ## دكتور : فهمت، ممكن تحكيلي أكتر عن الأسباب اللي بتخليك تشعر بالتوتر ده؟ ## مريض : يعني في ضغوطات كتير في الشغل وبعض المشاكل العائلية بتضيف للتوتر ده. ## دكتور : والله الضغوطات ديه بتأثر على صحتك النفسية؟ ## مريض : آه، بجد، بتأثر على نومي وعلى حالتي المزاجية.,آه، بجد، بتأثر على نومي وعلى حالتي المزاجية.,والله الضغوطات ديه بتأثر على صحتك النفسية؟
 ## دكتور : هاااي، عامل إزاي يا أستاذ؟ ## مريض : هاااي، أنا تمام، إزايك أنت؟ ## دكتور : بخير، الحمد لله. أنت جاي علشان تتكلم على حاجة معينة؟ ## مريض : أيوا، بس أنا بحس بتوتر كتير في الحياة اليومية ومحتاج أتكلم عليه. ## دكتور : فهمت، ممكن تحكيلي أكتر عن الأسباب اللي بتخليك تشعر بالتوتر ده؟ ## مريض : يعني في ضغوطات كتير في الشغل وبعض المشاكل العائلية بتضيف للتوتر ده. ## دكتور : والله الضغوطات ديه بتأثر على صحتك النفسية؟ ## مريض : آه، بجد، بتأثر على نومي وعلى حالتي المزاجية. ## دكتور : هل جربت أي حاجات تساعدك على التخلص من التوتر ده؟ ## مريض : بعض التمارين البسيطة زي التأمل والتنفس العميق، بس مش بتنفع كتير.,بعض التمارين البسيطة زي التأمل والتنفس العميق، بس مش بتنفع كتير.,هل جربت أي حاجات تساعدك على التخلص من التوتر ده؟
 ## دكتور : هاااي، عامل إزاي يا أستاذ؟ ## مريض : هاااي، أنا تمام، إزايك أنت؟ ## دكتور : بخير، الحمد لله. أنت جاي علشان تتكلم على حاجة معينة؟ ## مريض : أيوا، بس أنا بحس بتوتر كتير في الحياة اليومية ومحتاج أتكلم عليه. ## دكتور : فهمت، ممكن تحكيلي أكتر عن الأسباب اللي بتخليك تشعر بالتوتر ده؟ ## مريض : يعني في ضغوطات كتير في الشغل وبعض المشاكل العائلية بتضيف للتوتر ده. ## دكتور : والله الضغوطات ديه بتأثر على صحتك النفسية؟ ## مريض : آه، بجد، بتأثر على نومي وعلى حالتي المزاجية. ## دكتور : هل جربت أي حاجات تساعدك على التخلص من التوتر ده؟ ## مريض : بعض التمارين البسيطة زي التأمل والتنفس العميق، بس مش بتنفع كتير. ## دكتور : حاولت تتحدث مع أحد عن المشاكل اللي بتواجهها؟ ## مريض : مش كتير، بحاول أتحمل لوحدي بس.,مش كتير، بحاول أتحمل لوحدي بس.,حاولت تتحدث مع أحد عن المشاكل اللي بتواجهها؟
 ## دكتور : هاااي، عامل إزاي يا أستاذ؟ ## مريض : هاااي، أنا تمام، إزايك أنت؟ ## دكتور : بخير، الحمد لله. أنت جاي علشان تتكلم على حاجة معينة؟ ## مريض : أيوا، بس أنا بحس بتوتر كتير في الحياة اليومية ومحتاج أتكلم عليه. ## دكتور : فهمت، ممكن تحكيلي أكتر عن الأسباب اللي بتخليك تشعر بالتوتر ده؟ ## مريض : يعني في ضغوطات كتير في الشغل وبعض المشاكل العائلية بتضيف للتوتر ده. ## دكتور : والله الضغوطات ديه بتأثر على صحتك النفسية؟ ## مريض : آه، بجد، بتأثر على نومي وعلى حالتي المزاجية. ## دكتور : هل جربت أي حاجات تساعدك على التخلص من التوتر ده؟ ## مريض : بعض التمارين البسيطة زي التأمل والتنفس العميق، بس مش بتنفع كتير. ## دكتور : حاولت تتحدث مع أحد عن المشاكل اللي بتواجهها؟ ## مريض : مش كتير، بحاول أتحمل لوحدي بس. ## دكتور : هل فكرت في اللجوء لمساعدة من محترفين زيا؟ ## مريض : مش بس مفكر، بجد بحس إني محتاج أتكلم مع دكتور نفسي.,مش بس مفكر، بجد بحس إني محتاج أتكلم مع دكتور نفسي.,هل فكرت في اللجوء لمساعدة من محترفين زيا؟
 ## دكتور : هاااي، عامل إزاي يا أستاذ؟ ## مريض : هاااي، أنا تمام، إزايك أنت؟ ## دكتور : بخير، الحمد لله. أنت جاي علشان تتكلم على حاجة معينة؟ ## مريض : أيوا، بس أنا بحس بتوتر كتير في الحياة اليومية ومحتاج أتكلم عليه. ## دكتور : فهمت، ممكن تحكيلي أكتر عن الأسباب اللي بتخليك تشعر بالتوتر ده؟ ## مريض : يعني في ضغوطات كتير في الشغل وبعض المشاكل العائلية بتضيف للتوتر ده. ## دكتور : والله الضغوطات ديه بتأثر على صحتك النفسية؟ ## مريض : آه، بجد، بتأثر على نومي وعلى حالتي المزاجية. ## دكتور : هل جربت أي حاجات تساعدك على التخلص من التوتر ده؟ ## مريض : بعض التمارين البسيطة زي التأمل والتنفس العميق، بس مش بتنفع كتير. ## دكتور : حاولت تتحدث مع أحد عن المشاكل اللي بتواجهها؟ ## مريض : مش كتير، بحاول أتحمل لوحدي بس. ## دكتور : هل فكرت في اللجوء لمساعدة من محترفين زيا؟ ## مريض : مش بس مفكر، بجد بحس إني محتاج أتكلم مع دكتور نفسي. ## دكتور : ممتاز، يبقى هنبدأ في وضع خطة لمساعدتك على التخلص من التوتر ده.,ممتاز، يبقى هنبدأ في وضع خطة لمساعدتك على التخلص من التوتر ده.,مش بس مفكر، بجد بحس إني محتاج أتكلم مع دكتور نفسي.
 ## مريض : يا دكتور، أنا بتعب من الشك والقلق بالنسبة لمستقبلي. ## دكتور : حاول توضحلي الأسباب اللي بتخليك تشعر بالشك ده. ## مريض : مش عارف، بس دايمًا بحس إني مش هيبقى ليا مستقبل.,مش عارف، بس دايمًا بحس إني مش هيبقى ليا مستقبل.,حاول توضحلي الأسباب اللي بتخليك تشعر بالشك ده.
